name,city,price
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,16300
Chevrolet Celta Celta Ls 1.0 (flex) 4p,São Bernardo do Campo,20900
Chevrolet Celta 1.0 Lt Flex Power 5p,Santo André,19900
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,19550
Chevrolet Celta 1.0 Ls Flex Power 5p,Ribeirão Preto,18800
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,20500
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,15999
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,17990
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,13800
Chevrolet Celta 1.0 Mpfi Lt 8v,São Paulo,18990
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,20900
Chevrolet Celta Celta Ls 1.0 (flex) 2p,Osasco,15900
Chevrolet Celta Ls,Sorocaba,19900
Chevrolet Celta Lt,São Paulo,18500
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,17112
Chevrolet Celta Celta Lt 1.0 (flex),Caieiras,22900
Chevrolet Celta Celta Ls 1.0 (flex) 2p,Osasco,15890
Chevrolet Celta Lt 1.0,São Paulo,20000
Chevrolet Celta Lt,Osasco,18000
Chevrolet Celta 1.0 Ls Flex Power 3p,Guarulhos,15000
Chevrolet Celta 1.0 Ls Flex Power 3p,Guarulhos,15000
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,22900
Chevrolet Celta 1.0 Ls Flex Power 5p,Jundiaí,14990
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,12900
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,13900
Chevrolet Celta 1.0 Lt Flex Power 5p,Guarulhos,20500
Chevrolet Celta 1.0 Mpfi Ls 8v,Campinas,15490
Chevrolet Celta 1.0 Mpfi Ls 8v Flex 2p Manual,São Paulo,13900
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,14490
Chevrolet Celta Lt 1.0 Mpfi 8v Flexpower,São Bernardo do Campo,21890
Chevrolet Celta 1.0 Mpfi Lt 8v,Sorocaba,20900
Chevrolet Celta Celta 1.0 Mpfi Ls 8v Flex 2p Manual,Rio Claro,18990
Chevrolet Celta 1.0 Ls Flex Power 5p,Santo André,17990
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,Amparo,22900
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,18499
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,20900
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,21551
Chevrolet Celta 1.0 Ls Flex Power 3p,São Bernardo do Campo,16900
Chevrolet Celta 1.0 Ls Flex Power 5p,Praia Grande,19800
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,12900
Chevrolet Celta Celta 1.0 Mpfi Lt 8v Flex 4p Manual,São José do Rio Preto,21990
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,23900
Chevrolet Celta 1.0 Ls Flex Power 3p,Arujá,16900
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,21490
Chevrolet Celta 1.0 Ls Flex Power 5p,São Paulo,21555
Chevrolet Celta 1.0 Ls Flex Power 3p,Jundiaí,17900
Chevrolet Celta Celta Lt 1.0 Flex,Osasco,23900
Chevrolet Celta 1.0 Lt Flex Power 5p,Itaquaquecetuba,20900
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,Votorantim,22700
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,20900
Chevrolet Celta 1.0 Ls Flex Power 3p,São Paulo,19300
Chevrolet Celta Chevrolet Celta Ls 1.0 Flex,Campinas,19900
Chevrolet Celta 1.0 Lt 4 Portas,Valinhos,22990
Chevrolet Celta 1.0 Lt Flex Power 5p,São Paulo,22900
Chevrolet Celta 1.0 Ls Flex Power 5p,Votorantim,19900
Chevrolet Celta 1.0 Ls Flex Power 3p,Guarujá,19900
